pred_x,pred_y,true_x,true_y,euclidean_error
0.44719076,0.5170891,0.0,0.7619048,0.5098179
0.41603184,0.49677342,0.0,1.0,0.65293145
0.38179532,0.4739976,0.021664767,1.0,0.6374736
0.35326982,0.45423847,0.044469785,1.0,0.627067
0.36788797,0.46292645,0.0672748,1.0,0.61548054
0.428546,0.50330037,0.090079814,1.0,0.6010573
0.44938606,0.5171001,0.112884834,1.0,0.5885792
0.45344228,0.51953787,0.13568985,1.0,0.5760299
0.44592983,0.51439553,0.15849487,1.0,0.5642965
0.44073838,0.5105226,0.18129988,1.0,0.5539824
0.61784595,0.62629807,0.2041049,1.0,0.5575256
0.529226,0.56944036,0.22690992,1.0,0.5260956
0.43659127,0.50828755,0.24971494,1.0,0.5260265
0.5361956,0.5732221,0.27251995,1.0,0.5016615
0.5407616,0.5762938,0.29532498,1.0,0.48965913
0.39362442,0.47932583,0.31813,1.0,0.5261188
0.3343252,0.44059592,0.340935,1.0,0.5594431
0.28839758,0.41008598,0.36374003,1.0,0.5947058
0.30128253,0.41913432,0.38654503,1.0,0.58708996
0.3025328,0.41967803,0.40935007,1.0,0.5900708
0.24741271,0.37918097,0.43215507,1.0,0.64772373
0.24222708,0.37467712,0.45496008,1.0,0.660518
0.24749988,0.37870675,0.4777651,1.0,0.6625914
0.25838745,0.3864058,0.5005701,1.0,0.6596592
0.29919434,0.41479993,0.52337515,1.0,0.62667066
0.3149752,0.4251951,0.5461802,1.0,0.6195615
0.33173794,0.4357865,0.56898516,1.0,0.61206466
0.45988393,0.5209797,0.5917902,1.0,0.4968498
0.4879759,0.53959906,0.61459523,1.0,0.477495
0.68523186,0.6688863,0.6374002,1.0,0.33455065
0.7053319,0.68207514,0.66020525,1.0,0.32111156
0.5702573,0.59292495,0.6830103,1.0,0.42240185
0.6603337,0.6519032,0.70581526,1.0,0.35105547
0.61412436,0.62217504,0.7286203,1.0,0.39479238
0.58105135,0.6008924,0.7514253,1.0,0.4339518
0.5765046,0.59811056,0.7742303,1.0,0.44789574
0.59789795,0.61194515,0.79703534,1.0,0.4361677
0.5661981,0.5911994,0.8198404,1.0,0.48109496
0.53537464,0.5710489,0.8426454,1.0,0.5276499
0.4677599,0.5277906,0.8654504,1.0,0.6173649
0.47983962,0.5363193,0.8882554,1.0,0.6179023
0.6536525,0.6501606,0.91106045,1.0,0.43433452
0.74480885,0.710935,0.9338654,1.0,0.3453997
0.7452375,0.7115906,0.95667046,1.0,0.35760856
0.73896325,0.7076547,0.9794755,1.0,0.3785656
0.7232981,0.6973666,1.0,0.9879518,0.4012527
